footprint,nstories,buildingheight,eraBuilt,garageExists
"POLYGON ((37.5173875 36.899297, 37.5181114 36.8992858, 37.5181114 36.8991943, 37.5173782 36.899198, 37.5173875 36.899297))",,,N/A,
"POLYGON ((36.8865873 37.3038586, 36.8866485 37.3038231, 36.8866015 37.3037719, 36.8865404 37.3038074, 36.8865873 37.3038586))",,,N/A,
"POLYGON ((37.5255374 37.0363119, 37.5255563 37.0363746, 37.5256019 37.0363659, 37.5256113 37.0363972, 37.5255413 37.0364106, 37.5255356 37.0363914, 37.5255077 37.0363968, 37.5254852 37.0363219, 37.5255374 37.0363119))",1,34.6,Pre-1970,False
"POLYGON ((37.7793185 37.0142569, 37.7793597 37.0141525, 37.7794963 37.0141868, 37.7794559 37.0142893, 37.7794522 37.0142883, 37.7794157 37.0143807, 37.7792717 37.0143445, 37.7793074 37.0142541, 37.7793185 37.0142569))",2,32.2,Pre-1970,False
"POLYGON ((37.4000442 37.0528904, 37.400104 37.0528397, 37.4000701 37.0528142, 37.3999985 37.052875, 37.4000156 37.0528878, 37.4000274 37.0528778, 37.4000442 37.0528904))",1,24.5,Pre-1970,True
"POLYGON ((37.3065782 37.0569013, 37.3067598 37.0568509, 37.3068114 37.0569692, 37.3066298 37.0570196, 37.3065782 37.0569013))",1,34.5,Pre-1970,False
"POLYGON ((37.3611015 37.044061, 37.3611307 37.0440653, 37.3611379 37.0440346, 37.3611086 37.0440305, 37.3611015 37.044061))",4,58.3,Pre-1970,True
"POLYGON ((37.1929155 37.1432815, 37.1929229 37.1433168, 37.1928081 37.1433321, 37.1928007 37.1432968, 37.1929155 37.1432815))",,,N/A,
"POLYGON ((37.9861731 36.9471539, 37.9861184 36.9471737, 37.986066 36.9470812, 37.9861207 36.9470614, 37.9861731 36.9471539))",,,N/A,
"POLYGON ((37.4101704 37.0691796, 37.4101704 37.0691627, 37.4101808 37.0691627, 37.4101808 37.0691502, 37.4101534 37.0691502, 37.4101534 37.0691591, 37.4101458 37.0691591, 37.4101459 37.0691796, 37.4101704 37.0691796))",,,N/A,
"POLYGON ((37.3067255 36.8038634, 37.3068858 36.8038529, 37.3068994 36.8039852, 37.3067548 36.8039947, 37.3067359 36.8039657, 37.3067255 36.8038634))",2,39.4,Pre-1970,False
"POLYGON ((37.1444958 36.9431198, 37.1445064 36.9430185, 37.1445549 36.9430218, 37.1445442 36.943123, 37.1444958 36.9431198))",,,N/A,
"POLYGON ((37.6896514 37.4022016, 37.6897118 37.4022024, 37.6897131 37.4021352, 37.6896527 37.4021345, 37.6896514 37.4022016))",,,N/A,
"POLYGON ((37.8543001 37.1421852, 37.8541597 37.1422862, 37.8540863 37.1422215, 37.8542267 37.1421204, 37.8543001 37.1421852))",,,N/A,
"POLYGON ((37.462361 36.9919896, 37.4624256 36.9919755, 37.4623907 36.9918737, 37.4623261 36.9918878, 37.462361 36.9919896))",,,N/A,
"POLYGON ((37.4254254 37.1033836, 37.4253966 37.1031386, 37.4256118 37.1031225, 37.4256407 37.1033675, 37.4254254 37.1033836))",3,46.9,Pre-1970,False
"POLYGON ((37.2021011 37.0849037, 37.2019946 37.0849448, 37.2019252 37.0848304, 37.2019969 37.0848027, 37.2020295 37.0848565, 37.2020643 37.084843, 37.2021011 37.0849037))",1,25.0,Pre-1970,True
"POLYGON ((37.9150409 37.0033948, 37.9151222 37.0034046, 37.9150976 37.0035336, 37.9150163 37.0035237, 37.9150409 37.0033948))",,,N/A,
"POLYGON ((37.353472 37.0520063, 37.3535304 37.0520504, 37.35358 37.0520085, 37.3535216 37.0519645, 37.3534803 37.0519994, 37.353472 37.0520063))",2,38.3,Pre-1970,True
"POLYGON ((37.407817 37.0684915, 37.4079259 37.0684884, 37.4079225 37.0684121, 37.407883 37.0684132, 37.4078838 37.0684314, 37.4078144 37.0684334, 37.407817 37.0684915))",1,17.8,2000-2009,True
"POLYGON ((37.4070425 37.0612089, 37.4070926 37.0612073, 37.4070915 37.0611858, 37.4071122 37.0611852, 37.4071106 37.0611537, 37.4070398 37.061156, 37.4070425 37.0612089))",2,37.8,Pre-1970,True
"POLYGON ((37.389752 37.0680181, 37.3897548 37.0680368, 37.3897989 37.0680326, 37.3898027 37.0680579, 37.3898612 37.0680509, 37.3898548 37.0680084, 37.3898107 37.0680126, 37.3898093 37.0680031, 37.3897868 37.0680052, 37.3897837 37.0680151, 37.389752 37.0680181))",1,23.0,Pre-1970,False
"POLYGON ((37.281996 37.1233341, 37.2818932 37.123476, 37.2817113 37.1233923, 37.2818141 37.1232503, 37.281996 37.1233341))",,,N/A,
"POLYGON ((37.3779299 37.0599803, 37.377887 37.0599796, 37.377885 37.060055, 37.3778949 37.0600551, 37.3778944 37.0600764, 37.3779273 37.0600769, 37.3779299 37.0599803))",1,27.0,Pre-1970,True
"POLYGON ((37.3764818 37.0621418, 37.3764825 37.0620764, 37.3765463 37.0620768, 37.3765913 37.0620771, 37.3765906 37.0621425, 37.3764818 37.0621418))",,,N/A,
