id,Latitude,Longitude,OccupancyClass,StructureType,YearBuilt,NumberOfStories,ReplacementCost
5221,36.638302,36.217999,RES1,C3L,1971,1,2
5222,36.638302,36.2183,RES1,C3L,1971,1,2
5223,36.6381,36.218201,RES1,C3L,1971,1,2
5224,36.638401,36.217602,RES1,C3L,1971,1,2
5225,36.6385,36.217201,RES1,C3L,1971,1,2
5226,36.638199,36.217201,RES1,C3L,1971,1,2
5227,36.5783,36.189301,RES1,C3L,1971,1,2
5228,36.577499,36.191799,RES1,C3L,1971,1,2
5229,36.578201,36.191002,RES1,C3L,1971,1,2
5230,36.5783,36.190899,RES1,C3L,1971,1,2
5231,36.5783,36.1908,RES1,C3L,1971,1,2
5232,36.5784,36.190701,RES1,C3L,1971,1,2
5233,36.578499,36.190601,RES1,C3L,1971,1,2
5234,36.578602,36.190498,RES1,C3L,1971,1,2
5235,36.579201,36.189701,RES1,C3L,1971,1,2
5236,36.5784,36.191101,RES1,C3L,1971,1,2
5237,36.5784,36.1912,RES1,C3L,1971,1,2
5238,36.578499,36.191399,RES1,C3L,1971,1,2
5239,36.578499,36.191101,RES1,C3L,1971,1,2
5240,36.578701,36.191399,RES1,C3L,1971,1,2
5241,36.578602,36.191502,RES1,C3L,1971,1,2
5242,36.578701,36.191601,RES1,C3L,1971,1,2
5243,36.5788,36.191799,RES1,C3L,1971,1,2
5244,36.579201,36.1912,RES1,C3L,1971,1,2
5245,36.579498,36.1912,RES1,C3L,1971,1,2
5246,36.778702,36.215599,RES1,C3L,1971,1,2
5247,38.045898,37.1926,RES1,C3L,1971,1,2
5248,38.046001,37.192799,RES1,C3L,1971,1,2
5249,38.046001,37.191601,RES1,C3L,1971,1,2
5250,38.046299,37.191502,RES1,C3L,1971,1,2
5251,37.120499,38.796799,RES1,C3L,1971,1,2
5252,37.067799,38.808998,RES1,C3L,1971,1,2
5253,37.120602,38.7967,RES1,C3L,1971,1,2
5254,37.120499,38.796799,RES1,C3L,1971,1,2
5255,37.120701,38.7971,RES1,C3L,1971,1,2
5256,37.1105,38.808498,RES1,C3L,1971,1,2
5257,37.112,38.813499,RES1,C3L,1971,1,2
5258,37.111198,38.8111,RES1,C3L,1971,1,2
5259,37.1077,38.813801,RES1,C3L,1971,1,2
5260,36.578899,36.190498,RES1,C3L,1971,1,2
5261,37.154701,38.809399,RES1,C3L,1971,1,2
5262,37.124401,39.0312,RES1,C3L,1971,1,2
5263,37.120701,38.7971,RES1,C3L,1971,1,2
5264,37.1208,38.797199,RES1,C3L,1971,1,2
5265,37.1031,38.811901,RES1,C3L,1971,1,2
5266,37.1026,38.813202,RES1,C3L,1971,1,2
5267,37.107399,38.808998,RES1,C3L,1971,1,2
5268,37.105099,38.807899,RES1,C3L,1971,1,2
5269,37.125702,38.9375,RES1,C3L,1971,1,2
5270,37.125599,38.938301,RES1,C3L,1971,1,2
5271,37.122002,38.9869,RES1,C3L,1971,1,2
5272,37.1259,38.845699,RES1,C3L,1971,1,2
5273,38.045898,37.191101,RES1,C3L,1971,1,2
5274,38.0457,37.191002,RES1,C3L,1971,1,2
5275,37.127499,38.964802,RES1,C3L,1971,1,2
5276,37.1259,38.9445,RES1,C3L,1971,1,2
5277,37.1255,38.937698,RES1,C3L,1971,1,2
5278,37.125401,38.848301,RES1,C3L,1971,1,2
5279,37.1278,38.965199,RES1,C3L,1971,1,2
5280,37.121399,39.030102,RES1,C3L,1971,1,2
5281,37.1278,38.8461,RES1,C3L,1971,1,2
5282,37.124401,39.011101,RES1,C3L,1971,1,2
5283,37.126301,38.8913,RES1,C3L,1971,1,2
5284,37.127399,38.891201,RES1,C3L,1971,1,2
5285,37.152599,38.813801,RES1,C3L,1971,1,2
5286,37.120499,38.7971,RES1,C3L,1971,1,2
5287,37.127201,39.055801,RES1,C3L,1971,1,2
5288,37.128101,39.0569,RES1,C3L,1971,1,2
5289,37.126301,38.848801,RES1,C3L,1971,1,2
5290,37.127701,38.848499,RES1,C3L,1971,1,2
5291,37.127998,38.8484,RES1,C3L,1971,1,2
5292,37.061699,38.943401,RES1,C3L,1971,1,2
5293,37.051601,38.949699,RES1,C3L,1971,1,2
5294,37.153198,38.812901,RES1,C3L,1971,1,2
5295,37.059101,37.272999,RES1,C3L,1971,1,2
5296,37.047798,38.948299,RES1,C3L,1971,1,2
5297,37.036598,38.944801,RES1,C3L,1971,1,2
5298,36.488499,36.357498,RES1,C3L,1971,1,2
5299,36.859402,40.039001,RES1,C3L,1971,1,2
5300,36.862099,40.0331,RES1,C3L,1971,1,2
5301,36.861401,40.032299,RES1,C3L,1971,1,2
5302,36.861698,40.031601,RES1,C3L,1971,1,2
5303,36.861698,40.032101,RES1,C3L,1971,1,2
5304,36.4883,36.357498,RES1,C3L,1971,1,2
5305,36.4883,36.3577,RES1,C3L,1971,1,2
